,a_education,b_income,c_eastwest,d_sex,e_age,f_political_interest,g_preferred_party,p
115,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,DIE LINKE,0.004919499105545617
116,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,FDP,0.008944543828264758
117,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,SPD,0.019230769230769232
118,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,JA,WUERDE NICHT WAEHLEN,0.006261180679785331
119,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,AFD,0.0
120,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,CDU-CSU,0.0031305903398926656
121,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,DIE GRUENEN,0.0026833631484794273
122,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,DIE LINKE,0.0
123,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,FDP,0.0004472271914132379
124,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,SPD,0.004025044722719142
125,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,ALT,NEIN,WUERDE NICHT WAEHLEN,0.0017889087656529517
126,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,AFD,0.004025044722719142
127,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,CDU-CSU,0.022808586762075134
128,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE GRUENEN,0.02101967799642218
129,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,DIE LINKE,0.006261180679785331
130,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,FDP,0.0035778175313059034
131,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,SPD,0.01520572450805009
132,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,JA,WUERDE NICHT WAEHLEN,0.0022361359570661895
133,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,AFD,0.0004472271914132379
134,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,CDU-CSU,0.00849731663685152
135,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE GRUENEN,0.004472271914132379
136,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,DIE LINKE,0.0008944543828264759
137,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,FDP,0.0017889087656529517
138,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,SPD,0.01073345259391771
139,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,FRAU,JUNG,NEIN,WUERDE NICHT WAEHLEN,0.004472271914132379
140,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,AFD,0.006261180679785331
141,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,CDU-CSU,0.01520572450805009
142,EHER GEBILDET,EHER NIEDRIG,ALTE BUNDESLAENDER,MANN,ALT,JA,DIE GRUENEN,0.00849731663685152
