,educ,fdm01a,di01a,pa02a
270,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,STARK
271,MITTLERE REIFE,DEUTSCHLAND,1300,UEBERHAUPT NICHT
272,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
273,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
274,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
275,MITTLERE REIFE,DEUTSCHLAND,440,MITTEL
276,ANDERER ABSCHLUSS,FRUEHERE DT.OSTGEB.,650,WENIG
277,MITTLERE REIFE,DEUTSCHLAND,1700,UEBERHAUPT NICHT
278,HOCHSCHULREIFE,DEUTSCHLAND,1500,WENIG
279,HOCHSCHULREIFE,INDONESIEN,KEIN EINKOMMEN,STARK
280,MITTLERE REIFE,DEUTSCHLAND,2000,MITTEL
281,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
282,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,450,MITTEL
283,FACHHOCHSCHULREIFE,DEUTSCHLAND,1700,MITTEL
284,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,944,STARK
285,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,820,SEHR STARK
286,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,SEHR STARK
287,"VOLKS-,HAUPTSCHULE",LITAUEN,1500,MITTEL
288,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
289,MITTLERE REIFE,POLEN,1600,UEBERHAUPT NICHT
290,"VOLKS-,HAUPTSCHULE",UNGARN,1400,MITTEL
291,MITTLERE REIFE,DEUTSCHLAND,1800,MITTEL
292,HOCHSCHULREIFE,DEUTSCHLAND,1400,MITTEL
293,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
294,"VOLKS-,HAUPTSCHULE",TUERKEI,4000,MITTEL
295,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,450,UEBERHAUPT NICHT
296,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,MITTEL
297,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
298,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,3500,SEHR STARK
299,MITTLERE REIFE,OESTERREICH,KEIN EINKOMMEN,MITTEL
300,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
301,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,3000,SEHR STARK
302,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
303,"VOLKS-,HAUPTSCHULE",IRAK,1600,STARK
304,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
305,HOCHSCHULREIFE,SOWJETUNION,800,WENIG
306,HOCHSCHULREIFE,SOWJETUNION,VERWEIGERT,STARK
307,HOCHSCHULREIFE,DEUTSCHLAND,3000,SEHR STARK
308,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,MITTEL
309,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1500,MITTEL
310,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
311,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
312,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1500,MITTEL
313,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3000,STARK
314,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
315,"VOLKS-,HAUPTSCHULE",ITALIEN,2250,WENIG
316,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
317,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,MITTEL
318,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
319,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
