,educ,fdm01a,di01a,pa02a
1105,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
1106,HOCHSCHULREIFE,DEUTSCHLAND,700,MITTEL
1107,HOCHSCHULREIFE,"KOREA, REPUBLIK",1600,STARK
1108,HOCHSCHULREIFE,DEUTSCHLAND,1200,SEHR STARK
1109,HOCHSCHULREIFE,RUMAENIEN,3000,STARK
1110,HOCHSCHULREIFE,DEUTSCHLAND,2400,MITTEL
1111,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1112,MITTLERE REIFE,DEUTSCHLAND,1200,SEHR STARK
1113,MITTLERE REIFE,WEISS NICHT,1300,MITTEL
1114,MITTLERE REIFE,DEUTSCHLAND,1220,UEBERHAUPT NICHT
1115,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
1116,MITTLERE REIFE,DEUTSCHLAND,280,WENIG
1117,HOCHSCHULREIFE,DEUTSCHLAND,3500,SEHR STARK
1118,FACHHOCHSCHULREIFE,DEUTSCHLAND,2000,WENIG
1119,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1120,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
1121,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2100,SEHR STARK
1122,FACHHOCHSCHULREIFE,DEUTSCHLAND,550,STARK
1123,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
1124,MITTLERE REIFE,DEUTSCHLAND,3000,STARK
1125,HOCHSCHULREIFE,TUERKEI,1500,SEHR STARK
1126,MITTLERE REIFE,DEUTSCHLAND,1000,MITTEL
1127,FACHHOCHSCHULREIFE,DEUTSCHLAND,1200,MITTEL
1128,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1129,HOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
1130,HOCHSCHULREIFE,BULGARIEN,1000,MITTEL
1131,FACHHOCHSCHULREIFE,NIEDERLANDE,VERWEIGERT,SEHR STARK
1132,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,399,UEBERHAUPT NICHT
1133,HOCHSCHULREIFE,DEUTSCHLAND,1460,WENIG
1134,HOCHSCHULREIFE,DEUTSCHLAND,850,MITTEL
1135,FACHHOCHSCHULREIFE,DEUTSCHLAND,2200,SEHR STARK
1136,MITTLERE REIFE,DEUTSCHLAND,890,STARK
1137,MITTLERE REIFE,DEUTSCHLAND,1400,MITTEL
1138,HOCHSCHULREIFE,SCHWEIZ,4000,STARK
1139,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,WENIG
1140,HOCHSCHULREIFE,DEUTSCHLAND,2800,SEHR STARK
1141,MITTLERE REIFE,DEUTSCHLAND,860,WENIG
1142,HOCHSCHULREIFE,BELGIEN,7000,STARK
1143,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1144,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,STARK
1145,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
1146,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,4200,MITTEL
1147,MITTLERE REIFE,DEUTSCHLAND,3300,STARK
1148,HOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
1149,MITTLERE REIFE,DEUTSCHLAND,480,MITTEL
1150,MITTLERE REIFE,TSCHECHOSLOWAKEI,2500,STARK
1151,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1152,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
1153,HOCHSCHULREIFE,DEUTSCHLAND,2000,STARK
1154,MITTLERE REIFE,DEUTSCHLAND,1100,MITTEL
1155,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1156,HOCHSCHULREIFE,DEUTSCHLAND,3500,MITTEL
1157,HOCHSCHULREIFE,RUMAENIEN,4300,MITTEL
1158,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
1159,MITTLERE REIFE,DEUTSCHLAND,1100,STARK
1160,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1161,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1162,MITTLERE REIFE,SOWJETUNION,750,MITTEL
1163,FACHHOCHSCHULREIFE,DEUTSCHLAND,2600,MITTEL
1164,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,SEHR STARK
1165,HOCHSCHULREIFE,DEUTSCHLAND,750,SEHR STARK
1166,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1167,MITTLERE REIFE,DEUTSCHLAND,1300,MITTEL
1168,MITTLERE REIFE,DEUTSCHLAND,2250,SEHR STARK
1169,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,750,WENIG
1170,FACHHOCHSCHULREIFE,DEUTSCHLAND,1650,STARK
1171,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1400,MITTEL
1172,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,WENIG
1173,MITTLERE REIFE,DEUTSCHLAND,930,WENIG
1174,MITTLERE REIFE,DEUTSCHLAND,4000,STARK
1175,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1176,HOCHSCHULREIFE,DEUTSCHLAND,2300,STARK
1177,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1900,SEHR STARK
1178,MITTLERE REIFE,DEUTSCHLAND,450,MITTEL
1179,MITTLERE REIFE,DEUTSCHLAND,1250,WENIG
1180,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1181,FACHHOCHSCHULREIFE,DEUTSCHLAND,3100,MITTEL
1182,FACHHOCHSCHULREIFE,PHILIPPINEN,425,MITTEL
1183,"VOLKS-,HAUPTSCHULE",ALBANIEN,1400,MITTEL
1184,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,5500,STARK
1185,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1186,HOCHSCHULREIFE,DEUTSCHLAND,5000,STARK
1187,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,UEBERHAUPT NICHT
1188,"VOLKS-,HAUPTSCHULE",SOWJETUNION,1800,MITTEL
1189,MITTLERE REIFE,DEUTSCHLAND,600,SEHR STARK
1190,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
1191,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,3400,STARK
1192,OHNE ABSCHLUSS,DEUTSCHLAND,1527,UEBERHAUPT NICHT
1193,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1194,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,MITTEL
1195,HOCHSCHULREIFE,DEUTSCHLAND,900,SEHR STARK
1196,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,900,WENIG
1197,HOCHSCHULREIFE,DEUTSCHLAND,650,STARK
1198,OHNE ABSCHLUSS,DEUTSCHLAND,1200,MITTEL
1199,MITTLERE REIFE,DEUTSCHLAND,950,STARK
1200,MITTLERE REIFE,FRANKREICH,1750,WENIG
1201,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1202,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1203,HOCHSCHULREIFE,VIETNAM,VERWEIGERT,SEHR STARK
1204,HOCHSCHULREIFE,DEUTSCHLAND,1350,SEHR STARK
1205,MITTLERE REIFE,OESTERREICH,2900,MITTEL
1206,MITTLERE REIFE,DEUTSCHLAND,1800,STARK
1207,MITTLERE REIFE,POLEN,800,MITTEL
1208,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1250,MITTEL
1209,HOCHSCHULREIFE,DEUTSCHLAND,2000,WENIG
1210,HOCHSCHULREIFE,DEUTSCHLAND,1800,STARK
1211,HOCHSCHULREIFE,DEUTSCHLAND,DATENFEHLER,SEHR STARK
1212,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
1213,MITTLERE REIFE,DEUTSCHLAND,1800,SEHR STARK
1214,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,SEHR STARK
1215,HOCHSCHULREIFE,VEREINIGTES KOENIGR.,2450,SEHR STARK
1216,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,SEHR STARK
1217,"VOLKS-,HAUPTSCHULE",WEISS NICHT,1100,MITTEL
1218,MITTLERE REIFE,TUERKEI,VERWEIGERT,STARK
1219,MITTLERE REIFE,DEUTSCHLAND,1800,SEHR STARK
1220,FACHHOCHSCHULREIFE,DEUTSCHLAND,1200,WENIG
1221,MITTLERE REIFE,DEUTSCHLAND,1350,WENIG
1222,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,MITTEL
1223,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,STARK
1224,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1225,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
1226,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
1227,MITTLERE REIFE,ITALIEN,1700,STARK
1228,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,SEHR STARK
1229,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1230,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,650,UEBERHAUPT NICHT
1231,HOCHSCHULREIFE,DEUTSCHLAND,3000,SEHR STARK
1232,MITTLERE REIFE,DEUTSCHLAND,800,UEBERHAUPT NICHT
1233,MITTLERE REIFE,SOWJETUNION,KEIN EINKOMMEN,SEHR STARK
1234,HOCHSCHULREIFE,DEUTSCHLAND,570,STARK
1235,HOCHSCHULREIFE,DEUTSCHLAND,480,STARK
1236,HOCHSCHULREIFE,DEUTSCHLAND,7500,UEBERHAUPT NICHT
1237,"VOLKS-,HAUPTSCHULE",OESTERREICH,1100,STARK
1238,HOCHSCHULREIFE,POLEN,450,WENIG
1239,MITTLERE REIFE,WEISS NICHT,1200,MITTEL
1240,MITTLERE REIFE,DEUTSCHLAND,1400,STARK
1241,MITTLERE REIFE,DEUTSCHLAND,900,MITTEL
1242,HOCHSCHULREIFE,DEUTSCHLAND,1900,STARK
1243,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,700,WENIG
1244,MITTLERE REIFE,DEUTSCHLAND,630,WENIG
1245,MITTLERE REIFE,DEUTSCHLAND,3500,MITTEL
1246,HOCHSCHULREIFE,DEUTSCHLAND,3000,SEHR STARK
1247,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1248,MITTLERE REIFE,DEUTSCHLAND,78,WENIG
1249,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
1250,MITTLERE REIFE,DEUTSCHLAND,800,MITTEL
1251,HOCHSCHULREIFE,DEUTSCHLAND,2200,STARK
1252,HOCHSCHULREIFE,DEUTSCHLAND,790,STARK
1253,HOCHSCHULREIFE,DEUTSCHLAND,2100,MITTEL
1254,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2600,MITTEL
1255,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1000,WENIG
1256,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1257,MITTLERE REIFE,DEUTSCHLAND,700,STARK
1258,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,SEHR STARK
1259,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1260,HOCHSCHULREIFE,SOWJETUNION,700,MITTEL
1261,HOCHSCHULREIFE,DEUTSCHLAND,1700,STARK
1262,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1263,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
1264,HOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
1265,HOCHSCHULREIFE,DEUTSCHLAND,620,MITTEL
1266,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1267,MITTLERE REIFE,DEUTSCHLAND,2500,MITTEL
1268,HOCHSCHULREIFE,UNGARN,4000,MITTEL
1269,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1800,SEHR STARK
1270,MITTLERE REIFE,DEUTSCHLAND,2400,MITTEL
1271,MITTLERE REIFE,DEUTSCHLAND,770,MITTEL
1272,HOCHSCHULREIFE,TUERKEI,3500,STARK
1273,MITTLERE REIFE,DEUTSCHLAND,380,MITTEL
1274,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,STARK
1275,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1200,STARK
1276,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1277,HOCHSCHULREIFE,LITAUEN,1500,WENIG
1278,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,368,MITTEL
1279,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,4000,STARK
1280,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1281,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,SEHR STARK
1282,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,435,MITTEL
1283,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
1284,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,800,WENIG
1285,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,970,WENIG
1286,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,2000,MITTEL
1287,MITTLERE REIFE,DEUTSCHLAND,1600,MITTEL
1288,"VOLKS-,HAUPTSCHULE",TSCHECHOSLOWAKEI,901,STARK
1289,MITTLERE REIFE,DEUTSCHLAND,2100,UEBERHAUPT NICHT
1290,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1100,MITTEL
1291,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1200,STARK
1292,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,650,MITTEL
1293,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,WENIG
1294,MITTLERE REIFE,DEUTSCHLAND,1850,STARK
1295,MITTLERE REIFE,DEUTSCHLAND,2500,STARK
1296,HOCHSCHULREIFE,DEUTSCHLAND,2000,STARK
1297,MITTLERE REIFE,DEUTSCHLAND,820,STARK
1298,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,1000,STARK
1299,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1300,HOCHSCHULREIFE,DEUTSCHLAND,2200,SEHR STARK
1301,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,800,WENIG
1302,HOCHSCHULREIFE,DEUTSCHLAND,457,MITTEL
1303,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1304,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1000,STARK
1305,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,STARK
1306,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1300,MITTEL
1307,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1600,MITTEL
1308,HOCHSCHULREIFE,DEUTSCHLAND,3000,STARK
1309,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,800,MITTEL
1310,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1200,UEBERHAUPT NICHT
1311,FACHHOCHSCHULREIFE,POLEN,3800,MITTEL
1312,MITTLERE REIFE,DEUTSCHLAND,2800,STARK
1313,MITTLERE REIFE,DEUTSCHLAND,1100,STARK
1314,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2700,MITTEL
1315,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1316,HOCHSCHULREIFE,USA,2600,MITTEL
1317,"VOLKS-,HAUPTSCHULE",TUERKEI,KEIN EINKOMMEN,WENIG
1318,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,970,WENIG
1319,MITTLERE REIFE,DEUTSCHLAND,1400,STARK
1320,HOCHSCHULREIFE,DEUTSCHLAND,950,STARK
1321,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,WENIG
1322,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2000,STARK
1323,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1400,MITTEL
1324,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,300,MITTEL
1325,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,404,WENIG
1326,FACHHOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,2500,SEHR STARK
1327,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,550,SEHR STARK
1328,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,WENIG
1329,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,735,MITTEL
1330,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
1331,HOCHSCHULREIFE,DEUTSCHLAND,2000,SEHR STARK
1332,HOCHSCHULREIFE,DEUTSCHLAND,950,WENIG
1333,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,704,WENIG
1334,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1335,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1336,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2200,MITTEL
1337,HOCHSCHULREIFE,DEUTSCHLAND,3000,MITTEL
1338,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2000,STARK
1339,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,STARK
1340,FACHHOCHSCHULREIFE,DEUTSCHLAND,1800,WENIG
1341,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1342,MITTLERE REIFE,DEUTSCHLAND,1054,WENIG
1343,HOCHSCHULREIFE,DEUTSCHLAND,1100,STARK
1344,HOCHSCHULREIFE,DEUTSCHLAND,2500,STARK
1345,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2100,MITTEL
1346,HOCHSCHULREIFE,FRUEHERE DT.OSTGEB.,3600,STARK
1347,HOCHSCHULREIFE,DEUTSCHLAND,3300,SEHR STARK
1348,FACHHOCHSCHULREIFE,NIEDERLANDE,VERWEIGERT,STARK
1349,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1200,MITTEL
1350,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2500,WENIG
1351,FACHHOCHSCHULREIFE,VEREINIGTES KOENIGR.,1600,MITTEL
1352,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,VERWEIGERT,MITTEL
1353,HOCHSCHULREIFE,DEUTSCHLAND,920,MITTEL
1354,MITTLERE REIFE,DEUTSCHLAND,1260,STARK
1355,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1356,MITTLERE REIFE,WEISS NICHT,1150,WENIG
1357,HOCHSCHULREIFE,DEUTSCHLAND,1500,MITTEL
1358,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1359,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1360,MITTLERE REIFE,TSCHECHOSLOWAKEI,1700,MITTEL
1361,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1400,WENIG
1362,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1100,WENIG
1363,NOCH SCHUELER,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
1364,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
1365,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1366,MITTLERE REIFE,DEUTSCHLAND,2300,SEHR STARK
1367,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,880,MITTEL
1368,FACHHOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1369,"VOLKS-,HAUPTSCHULE",BRASILIEN,300,WENIG
1370,MITTLERE REIFE,DEUTSCHLAND,KEIN EINKOMMEN,WENIG
1371,HOCHSCHULREIFE,DEUTSCHLAND,4100,STARK
1372,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,SEHR STARK
1373,HOCHSCHULREIFE,DEUTSCHLAND,1800,UEBERHAUPT NICHT
1374,MITTLERE REIFE,DEUTSCHLAND,2000,STARK
1375,HOCHSCHULREIFE,DEUTSCHLAND,550,STARK
1376,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,2200,SEHR STARK
1377,HOCHSCHULREIFE,DEUTSCHLAND,1200,STARK
1378,FACHHOCHSCHULREIFE,DEUTSCHLAND,1500,STARK
1379,MITTLERE REIFE,DEUTSCHLAND,1500,MITTEL
1380,"VOLKS-,HAUPTSCHULE",RUMAENIEN,500,MITTEL
1381,MITTLERE REIFE,DEUTSCHLAND,850,STARK
1382,HOCHSCHULREIFE,DEUTSCHLAND,1200,MITTEL
1383,HOCHSCHULREIFE,DEUTSCHLAND,600,MITTEL
1384,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,MITTEL
1385,HOCHSCHULREIFE,DEUTSCHLAND,700,STARK
1386,HOCHSCHULREIFE,DEUTSCHLAND,300,MITTEL
1387,OHNE ABSCHLUSS,FRUEHERE DT.OSTGEB.,1600,MITTEL
1388,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1069,MITTEL
1389,HOCHSCHULREIFE,ARMENIEN,330,UEBERHAUPT NICHT
1390,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1450,MITTEL
1391,MITTLERE REIFE,TUERKEI,800,STARK
1392,FACHHOCHSCHULREIFE,DEUTSCHLAND,2150,MITTEL
1393,MITTLERE REIFE,DEUTSCHLAND,3000,MITTEL
1394,MITTLERE REIFE,WEISS NICHT,165,MITTEL
1395,MITTLERE REIFE,DEUTSCHLAND,1400,MITTEL
1396,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
1397,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1398,HOCHSCHULREIFE,SCHWEIZ,4700,MITTEL
1399,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,MITTEL
1400,MITTLERE REIFE,DEUTSCHLAND,1800,MITTEL
1401,MITTLERE REIFE,DEUTSCHLAND,1220,STARK
1402,HOCHSCHULREIFE,ITALIEN,2200,MITTEL
1403,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,STARK
1404,HOCHSCHULREIFE,SOWJETUNION,2100,WENIG
1405,MITTLERE REIFE,DEUTSCHLAND,340,WENIG
1406,MITTLERE REIFE,ITALIEN,765,MITTEL
1407,HOCHSCHULREIFE,DEUTSCHLAND,1600,SEHR STARK
1408,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,1300,WENIG
1409,MITTLERE REIFE,DEUTSCHLAND,2300,WENIG
1410,MITTLERE REIFE,DEUTSCHLAND,680,WENIG
1411,HOCHSCHULREIFE,DEUTSCHLAND,450,MITTEL
1412,HOCHSCHULREIFE,DEUTSCHLAND,2800,SEHR STARK
1413,MITTLERE REIFE,DEUTSCHLAND,1200,WENIG
1414,HOCHSCHULREIFE,DEUTSCHLAND,650,MITTEL
1415,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1078,MITTEL
1416,MITTLERE REIFE,SOWJETUNION,2200,MITTEL
1417,HOCHSCHULREIFE,DEUTSCHLAND,4800,WENIG
1418,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1419,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,VERWEIGERT,WENIG
1420,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,800,WENIG
1421,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1422,MITTLERE REIFE,DEUTSCHLAND,970,STARK
1423,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
1424,OHNE ABSCHLUSS,DEUTSCHLAND,1800,MITTEL
1425,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,STARK
1426,HOCHSCHULREIFE,RUMAENIEN,1380,UEBERHAUPT NICHT
1427,FACHHOCHSCHULREIFE,POLEN,1300,SEHR STARK
1428,HOCHSCHULREIFE,DEUTSCHLAND,2800,SEHR STARK
1429,FACHHOCHSCHULREIFE,DEUTSCHLAND,3200,SEHR STARK
1430,MITTLERE REIFE,DEUTSCHLAND,430,MITTEL
1431,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1432,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,WENIG
1433,MITTLERE REIFE,DEUTSCHLAND,2300,STARK
1434,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2400,STARK
1435,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,KEIN EINKOMMEN,MITTEL
1436,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,2500,MITTEL
1437,OHNE ABSCHLUSS,POLEN,900,UEBERHAUPT NICHT
1438,MITTLERE REIFE,DEUTSCHLAND,700,MITTEL
1439,HOCHSCHULREIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1440,MITTLERE REIFE,DEUTSCHLAND,3500,MITTEL
1441,HOCHSCHULREIFE,VEREINIGTES KOENIGR.,450,MITTEL
1442,MITTLERE REIFE,DEUTSCHLAND,3000,WENIG
1443,MITTLERE REIFE,DEUTSCHLAND,1000,STARK
1444,HOCHSCHULREIFE,DEUTSCHLAND,KEIN EINKOMMEN,STARK
1445,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,5000,MITTEL
1446,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,1700,SEHR STARK
1447,HOCHSCHULREIFE,DEUTSCHLAND,1600,MITTEL
1448,MITTLERE REIFE,DEUTSCHLAND,4000,SEHR STARK
1449,HOCHSCHULREIFE,JUGOSLAWIEN,1600,SEHR STARK
1450,"VOLKS-,HAUPTSCHULE",FRUEHERE DT.OSTGEB.,720,MITTEL
1451,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1452,HOCHSCHULREIFE,DEUTSCHLAND,813,MITTEL
1453,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1500,MITTEL
1454,MITTLERE REIFE,DEUTSCHLAND,1200,STARK
1455,FACHHOCHSCHULREIFE,DEUTSCHLAND,2100,MITTEL
1456,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,528,STARK
1457,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,800,WENIG
1458,HOCHSCHULREIFE,DEUTSCHLAND,1900,MITTEL
1459,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1800,STARK
1460,MITTLERE REIFE,SOWJETUNION,KEIN EINKOMMEN,MITTEL
1461,"VOLKS-,HAUPTSCHULE",DEUTSCHLAND,1100,STARK
1462,MITTLERE REIFE,DEUTSCHLAND,VERWEIGERT,MITTEL
1463,HOCHSCHULREIFE,RUMAENIEN,1000,MITTEL
1464,MITTLERE REIFE,DEUTSCHLAND,1200,MITTEL
1465,MITTLERE REIFE,FRUEHERE DT.OSTGEB.,2500,MITTEL
1466,FACHHOCHSCHULREIFE,DEUTSCHLAND,1300,SEHR STARK
